"order_month","state","orders","gmv","aov","gmv_share"
"2016-09-01 00:00:00.000","SP","1","134.97","134.97","1.0"
"2016-10-01 00:00:00.000","SP","94","11911.060000000001","126.71340425531916","0.29537575966934754"
"2016-10-01 00:00:00.000","RJ","40","8217.28","205.43200000000002","0.2037757615540293"
"2016-10-01 00:00:00.000","MG","35","4274.950000000001","122.14142857142859","0.10601211007235942"
"2016-10-01 00:00:00.000","Others","29","4124.95","142.2396551724138","0.10229234340588285"
"2016-10-01 00:00:00.000","RS","17","2523.55","148.44411764705885","0.06258011447457926"
"2016-10-01 00:00:00.000","SC","9","2238.06","248.67333333333332","0.05550040657049665"
"2016-10-01 00:00:00.000","PR","19","2004.61","105.5057894736842","0.04971120971523699"
"2016-10-01 00:00:00.000","CE","6","1649.68","274.94666666666666","0.04090949782902019"
"2016-10-01 00:00:00.000","PE","6","1249.6","208.26666666666665","0.030988136176193944"
"2016-10-01 00:00:00.000","PA","4","1087.6","271.9","0.026970788176399273"
"2016-10-01 00:00:00.000","DF","6","1043.77","173.96166666666667","0.02588387235645483"
"2016-12-01 00:00:00.000","PR","1","10.9","10.9","1.0"
"2017-01-01 00:00:00.000","SP","283","39614.73999999996","139.9814134275617","0.35434097602147274"
"2017-01-01 00:00:00.000","MG","102","15753.85","154.4495098039216","0.14091306885002614"
"2017-01-01 00:00:00.000","RJ","91","12048.100000000002","132.39670329670332","0.10776633932733903"
"2017-01-01 00:00:00.000","RS","52","11903.979999999998","228.92269230769227","0.10647723276083837"
"2017-01-01 00:00:00.000","Others","70","10679.869999999997","152.56957142857138","0.09552796659986784"
"2017-01-01 00:00:00.000","PR","62","5049.63","81.44564516129033","0.04516729941297889"
"2017-01-01 00:00:00.000","SC","26","5021.57","193.13730769230767","0.044916311831407915"
"2017-01-01 00:00:00.000","GO","18","4227.49","234.86055555555555","0.03781352427710032"
"2017-01-01 00:00:00.000","BA","24","3788.02","157.83416666666668","0.033882607938077104"
"2017-01-01 00:00:00.000","PE","9","1884.48","209.38666666666666","0.016856061215924818"
"2017-01-01 00:00:00.000","DF","13","1826.63","140.51000000000002","0.016338611764966864"
"2017-02-01 00:00:00.000","SP","601","73928.93999999997","123.00988352745419","0.31563430468518516"
"2017-02-01 00:00:00.000","RJ","230","29970.39999999998","130.30608695652165","0.12795647232513913"
"2017-02-01 00:00:00.000","Others","200","28854.37","144.27185","0.12319166231896561"
"2017-02-01 00:00:00.000","MG","241","28561.319999999978","118.51170124481318","0.12194050637126773"
"2017-02-01 00:00:00.000","PR","110","17955.809999999998","163.23463636363635","0.07666104240652302"
"2017-02-01 00:00:00.000","RS","100","15003.74","150.0374","0.06405739136226357"
"2017-02-01 00:00:00.000","DF","21","9857.81","469.4195238095238","0.04208721246468117"
"2017-02-01 00:00:00.000","PA","24","9602.59","400.10791666666665","0.04099756898755634"
"2017-02-01 00:00:00.000","MS","11","7519.79","683.6172727272727","0.0321052038353128"
"2017-02-01 00:00:00.000","BA","58","6990.780000000001","120.53068965517242","0.029846633598521768"
"2017-02-01 00:00:00.000","SC","57","5977.85","104.87456140350878","0.02552200164458377"
"2017-03-01 00:00:00.000","SP","966","131720.93000000034","136.3570703933751","0.36670754931425936"
"2017-03-01 00:00:00.000","RJ","370","53373.90999999995","144.25381081081068","0.14859153919896992"
"2017-03-01 00:00:00.000","Others","275","42671.36000000001","155.16858181818185","0.11879592598918391"
"2017-03-01 00:00:00.000","MG","343","40847.079999999965","119.08769679300282","0.11371717921702683"
"2017-03-01 00:00:00.000","RS","144","19527.639999999992","135.60861111111106","0.054364427948474715"
"2017-03-01 00:00:00.000","SC","104","18004.51","173.12028846153845","0.05012407472908108"
"2017-03-01 00:00:00.000","BA","87","15468.319999999998","177.7967816091954","0.0430633895403618"
"2017-03-01 00:00:00.000","PR","121","14638.900000000001","120.98264462809918","0.0407543064238652"
"2017-03-01 00:00:00.000","GO","47","8494.460000000001","180.73319148936173","0.023648349653680668"
"2017-03-01 00:00:00.000","PA","35","7647.77","218.5077142857143","0.021291187318667627"
"2017-03-01 00:00:00.000","DF","54","6803.97","125.99944444444445","0.018942070666428903"
"2017-04-01 00:00:00.000","SP","873","123445.71000000028","141.404020618557","0.36236189261104834"
"2017-04-01 00:00:00.000","RJ","325","56955.58999999998","175.24796923076917","0.16718714151491246"
"2017-04-01 00:00:00.000","Others","290","41217.14999999999","142.12810344827582","0.12098860691095245"
"2017-04-01 00:00:00.000","MG","266","39224.36999999998","147.46003759398488","0.11513901090346507"
"2017-04-01 00:00:00.000","BA","84","17863.149999999998","212.6565476190476","0.05243539724462707"
"2017-04-01 00:00:00.000","RS","132","16561.79","125.46810606060606","0.04861539189516364"
"2017-04-01 00:00:00.000","PR","112","15553.109999999999","138.86705357142856","0.04565451788958732"
"2017-04-01 00:00:00.000","SC","100","11199.0","111.99","0.03287348612885066"
"2017-04-01 00:00:00.000","DF","34","7497.6799999999985","220.51999999999995","0.022008650725829176"
"2017-04-01 00:00:00.000","CE","42","5731.83","136.47214285714284","0.01682518385551657"
"2017-04-01 00:00:00.000","ES","45","5420.300000000001","120.45111111111113","0.01591072032004726"
"2017-05-01 00:00:00.000","SP","1363","171540.35000000047","125.85498899486461","0.3505557760914875"
"2017-05-01 00:00:00.000","RJ","466","70967.17","152.2900643776824","0.14502681938311576"
"2017-05-01 00:00:00.000","Others","393","61907.76999999999","157.5261323155216","0.12651324518367396"
"2017-05-01 00:00:00.000","MG","412","48839.66999999995","118.54288834951444","0.09980758708316775"
"2017-05-01 00:00:00.000","PR","206","31135.099999999984","151.14126213592226","0.06362694925238312"
"2017-05-01 00:00:00.000","RS","206","28407.759999999987","137.90174757281548","0.05805342214715479"
"2017-05-01 00:00:00.000","SC","146","21182.789999999997","145.087602739726","0.043288645430844576"
"2017-05-01 00:00:00.000","GO","83","16481.18","198.56843373493976","0.03368054714709097"
"2017-05-01 00:00:00.000","BA","119","16031.659999999996","134.71983193277308","0.032761918774998657"
"2017-05-01 00:00:00.000","ES","90","12378.53","137.53922222222224","0.025296469262314956"
"2017-05-01 00:00:00.000","CE","62","10466.269999999999","168.81080645161288","0.021388620243767968"
"2017-06-01 00:00:00.000","SP","1284","168994.76000000045","131.61585669781965","0.4005342486717441"
"2017-06-01 00:00:00.000","RJ","399","53295.94999999995","133.57380952380942","0.1263166579277178"
"2017-06-01 00:00:00.000","Others","306","46996.329999999994","153.58277777777775","0.11138593721414376"
"2017-06-01 00:00:00.000","MG","356","46275.23999999995","129.98662921348298","0.1096768827950912"
"2017-06-01 00:00:00.000","RS","215","23519.81999999999","109.39451162790692","0.055744293092842824"
"2017-06-01 00:00:00.000","PR","167","21153.289999999994","126.6664071856287","0.05013538358873075"
"2017-06-01 00:00:00.000","BA","103","20109.66999999999","195.2395145631067","0.047661901259463235"
"2017-06-01 00:00:00.000","SC","109","12874.44","118.11412844036698","0.03051369256934023"
"2017-06-01 00:00:00.000","ES","79","10345.830000000002","130.95987341772155","0.02452063747973949"
"2017-06-01 00:00:00.000","CE","44","9560.2","217.27727272727273","0.022658616895290706"
"2017-06-01 00:00:00.000","GO","73","8797.84","120.51835616438356","0.02085174850589573"
"2017-07-01 00:00:00.000","SP","1543","178145.6400000005","115.45407647440085","0.3699002658862096"
"2017-07-01 00:00:00.000","RJ","547","74961.74999999997","137.0415904936014","0.15565001341764795"
"2017-07-01 00:00:00.000","Others","432","54310.72000000001","125.71925925925927","0.11277037017841934"
"2017-07-01 00:00:00.000","MG","435","53758.87999999996","123.58363218390795","0.11162453375645211"
"2017-07-01 00:00:00.000","RS","242","28823.989999999976","119.10739669421477","0.05984991586042413"
"2017-07-01 00:00:00.000","PR","195","24331.09999999999","124.77487179487176","0.05052091288511987"
"2017-07-01 00:00:00.000","SC","152","18517.479999999996","121.82552631578945","0.03844955607974771"
"2017-07-01 00:00:00.000","BA","144","18469.739999999998","128.26208333333332","0.03835042910311552"
"2017-07-01 00:00:00.000","DF","75","10828.02","144.3736","0.022483219218955817"
"2017-07-01 00:00:00.000","MT","37","10258.78","277.2643243243243","0.021301253567968987"
"2017-07-01 00:00:00.000","PE","70","9198.42","131.406","0.01909953004593892"
"2017-08-01 00:00:00.000","SP","1665","191870.5900000005","115.23759159159188","0.3458999346853808"
"2017-08-01 00:00:00.000","Others","472","77886.83","165.01447033898305","0.14041260523486843"
"2017-08-01 00:00:00.000","RJ","537","76334.28999999998","142.1495158286778","0.13761372144243078"
"2017-08-01 00:00:00.000","MG","459","58708.909999999945","127.90612200435717","0.10583908734762233"
"2017-08-01 00:00:00.000","RS","296","33491.23999999997","113.14608108108098","0.06037724556187779"
"2017-08-01 00:00:00.000","PR","220","28439.969999999983","129.27259090909084","0.0512709309199193"
"2017-08-01 00:00:00.000","BA","152","25134.469999999994","165.35835526315785","0.04531185071850584"
"2017-08-01 00:00:00.000","SC","152","21798.219999999994","143.4093421052631","0.03929733511664055"
"2017-08-01 00:00:00.000","PA","57","14754.399999999998","258.8491228070175","0.026598896664267145"
"2017-08-01 00:00:00.000","ES","94","13141.850000000002","139.80691489361703","0.023691828209029125"
"2017-08-01 00:00:00.000","GO","89","13138.93","147.62842696629212","0.02368656409945776"
"2017-09-01 00:00:00.000","SP","1576","211451.3000000004","134.169606598985","0.3481254772496011"
"2017-09-01 00:00:00.000","RJ","591","93058.28000000012","157.45901861252133","0.15320765650070248"
"2017-09-01 00:00:00.000","Others","469","81192.24999999999","173.11780383795306","0.13367187045063741"
"2017-09-01 00:00:00.000","MG","493","71516.26","145.06340770791073","0.11774168398873172"
"2017-09-01 00:00:00.000","RS","273","37058.269999999975","135.74457875457867","0.061011343651207355"
"2017-09-01 00:00:00.000","SC","153","25545.129999999997","166.9616339869281","0.042056542440992724"
"2017-09-01 00:00:00.000","BA","167","23658.899999999994","141.67005988023948","0.038951124224351284"
"2017-09-01 00:00:00.000","PR","176","20882.609999999993","118.65119318181814","0.034380344658402555"
"2017-09-01 00:00:00.000","CE","74","16652.93","225.0395945945946","0.02741675839237777"
"2017-09-01 00:00:00.000","DF","94","13200.0","140.4255319148936","0.021731984148098054"
"2017-09-01 00:00:00.000","GO","84","13183.739999999998","156.94928571428568","0.02170521429489744"
"2017-10-01 00:00:00.000","SP","1723","219804.08000000042","127.57056297156147","0.3390742411484257"
"2017-10-01 00:00:00.000","RJ","654","95492.2400000001","146.01259938837936","0.1473082702266642"
"2017-10-01 00:00:00.000","Others","510","91787.27000000002","179.9750392156863","0.14159290820414072"
"2017-10-01 00:00:00.000","MG","542","80710.11000000002","148.91164206642068","0.12450505605380899"
"2017-10-01 00:00:00.000","RS","244","37126.32999999998","152.15709016393436","0.05727183122067616"
"2017-10-01 00:00:00.000","PR","198","32639.40999999999","164.84550505050498","0.05035021723565055"
"2017-10-01 00:00:00.000","BA","158","23319.91999999999","147.59443037974677","0.03597378255054218"
"2017-10-01 00:00:00.000","SC","174","21022.549999999996","120.81925287356319","0.032429812896352155"
"2017-10-01 00:00:00.000","PE","77","17120.19","222.34012987012986","0.02640995304803648"
"2017-10-01 00:00:00.000","GO","106","16591.05","156.5193396226415","0.025593690929693283"
"2017-10-01 00:00:00.000","DF","92","12634.5","137.33152173913044","0.019490236486009616"
"2017-11-01 00:00:00.000","SP","2899","350790.17999999964","121.00385650224203","0.355135126877347"
"2017-11-01 00:00:00.000","RJ","1012","147782.40000000029","146.030039525692","0.14961285796038817"
"2017-11-01 00:00:00.000","MG","922","132686.09000000026","143.91116052060767","0.1343295624951908"
"2017-11-01 00:00:00.000","Others","673","115611.01999999999","171.78457652303118","0.11704299777182912"
"2017-11-01 00:00:00.000","RS","409","57463.269999999946","140.49699266503654","0.05817501984302197"
"2017-11-01 00:00:00.000","PR","365","45751.33999999996","125.34613698630126","0.04631802388455869"
"2017-11-01 00:00:00.000","SC","288","37870.89999999997","131.49618055555547","0.038339975413391916"
"2017-11-01 00:00:00.000","BA","243","28819.039999999994","118.59687242798351","0.029175997534718178"
"2017-11-01 00:00:00.000","DF","157","26406.159999999996","168.192101910828","0.026733231192342766"
"2017-11-01 00:00:00.000","ES","168","23858.75999999999","142.01642857142852","0.024154278662350745"
"2017-11-01 00:00:00.000","GO","153","20726.209999999995","135.46542483660127","0.020982928364860567"
"2017-12-01 00:00:00.000","SP","2295","274951.7400000005","119.80467973856231","0.37870409202642674"
"2017-12-01 00:00:00.000","RJ","746","112259.63000000021","150.48207774798956","0.1546205208607613"
"2017-12-01 00:00:00.000","MG","669","91152.90000000008","136.25246636771314","0.12554921903776875"
"2017-12-01 00:00:00.000","Others","530","75659.54","142.75384905660377","0.10420947835731849"
"2017-12-01 00:00:00.000","RS","278","41904.94999999997","150.73723021582722","0.05771767816840428"
"2017-12-01 00:00:00.000","PR","260","29894.53999999998","114.97899999999991","0.041175169967091925"
"2017-12-01 00:00:00.000","BA","188","27799.76999999999","147.87111702127655","0.03828994374210352"
"2017-12-01 00:00:00.000","SC","192","24234.889999999992","126.22338541666663","0.03337986518219637"
"2017-12-01 00:00:00.000","DF","129","16829.679999999997","130.4626356589147","0.023180317693189723"
"2017-12-01 00:00:00.000","GO","125","15674.929999999998","125.39943999999998","0.02158982566623432"
"2017-12-01 00:00:00.000","PE","101","15670.619999999997","155.1546534653465","0.021583889298504355"
"2018-01-01 00:00:00.000","SP","2975","368611.4299999997","123.90300168067216","0.3986518393545627"
"2018-01-01 00:00:00.000","RJ","850","117268.05000000022","137.96241176470613","0.12682494362701383"
"2018-01-01 00:00:00.000","MG","846","113543.88000000021","134.2126241134754","0.12279726814074612"
"2018-01-01 00:00:00.000","Others","697","107176.58999999998","153.76842180774747","0.11591106857226284"
"2018-01-01 00:00:00.000","RS","367","46214.289999999964","125.92449591280645","0.0499805763292939"
"2018-01-01 00:00:00.000","PR","371","43998.59999999996","118.59460916442038","0.04758431614295211"
"2018-01-01 00:00:00.000","SC","311","37192.629999999976","119.59045016077162","0.04022368584700071"
"2018-01-01 00:00:00.000","BA","228","36395.139999999985","159.6278070175438","0.03936120348890653"
"2018-01-01 00:00:00.000","ES","145","20095.42","138.58910344827586","0.02173311919709726"
"2018-01-01 00:00:00.000","DF","135","17435.68","129.15318518518518","0.018856620649005833"
"2018-01-01 00:00:00.000","GO","144","16713.289999999997","116.06451388888887","0.018075358651158006"
"2018-02-01 00:00:00.000","SP","2632","307829.1500000003","116.95636398176303","0.3724773958304609"
"2018-02-01 00:00:00.000","RJ","879","110517.97000000016","125.73147895335627","0.13372822443251078"
"2018-02-01 00:00:00.000","MG","790","106746.23000000021","135.12181012658255","0.12916436849830323"
"2018-02-01 00:00:00.000","Others","629","90920.54999999999","144.54777424483305","0.1100150836640168"
"2018-02-01 00:00:00.000","RS","363","46360.009999999966","127.7135261707988","0.05609623323676168"
"2018-02-01 00:00:00.000","PR","335","44752.10999999997","133.5883880597014","0.05415065269393201"
"2018-02-01 00:00:00.000","SC","254","31886.249999999978","125.53641732283457","0.03858278971565563"
"2018-02-01 00:00:00.000","BA","208","31583.019999999982","151.84144230769223","0.03821587735294512"
"2018-02-01 00:00:00.000","DF","170","21145.479999999992","124.38517647058819","0.025586314109580215"
"2018-02-01 00:00:00.000","GO","146","17702.23","121.2481506849315","0.021419935476519537"
"2018-02-01 00:00:00.000","ES","149","16994.129999999997","114.05456375838925","0.020563124989314053"
"2018-03-01 00:00:00.000","SP","2971","377034.3399999996","126.90486031639166","0.3954810596773239"
"2018-03-01 00:00:00.000","MG","856","114857.97000000018","134.17987149532732","0.12047749201833019"
"2018-03-01 00:00:00.000","RJ","864","113062.84000000011","130.85976851851865","0.11859453378524569"
"2018-03-01 00:00:00.000","Others","707","109704.28999999998","155.16872701555866","0.11507166392416267"
"2018-03-01 00:00:00.000","RS","407","56068.39999999995","137.76019656019645","0.05881159325278453"
"2018-03-01 00:00:00.000","PR","369","49983.30999999997","135.45612466124652","0.052428785147210166"
"2018-03-01 00:00:00.000","SC","247","36300.359999999986","146.96502024291493","0.038076385401574694"
"2018-03-01 00:00:00.000","BA","235","34965.92999999998","148.7911914893616","0.03667666730039268"
"2018-03-01 00:00:00.000","PE","107","22702.389999999992","212.17186915887842","0.02381312337334548"
"2018-03-01 00:00:00.000","DF","147","20520.529999999995","139.5954421768707","0.02152451405232829"
"2018-03-01 00:00:00.000","CE","93","18155.89","195.22462365591397","0.01904418206730171"
"2018-04-01 00:00:00.000","SP","3002","391246.9899999996","130.32877748167874","0.401883194454957"
"2018-04-01 00:00:00.000","RJ","807","119055.34000000017","147.52830235439922","0.12229190659363576"
"2018-04-01 00:00:00.000","MG","778","109851.50000000015","141.1973007712084","0.11283785655620972"
"2018-04-01 00:00:00.000","Others","636","108368.14999999998","170.3901729559748","0.1113141810986814"
"2018-04-01 00:00:00.000","PR","381","65914.87999999999","173.00493438320208","0.06770680213160281"
"2018-04-01 00:00:00.000","RS","345","50165.44999999996","145.40710144927525","0.051529217636333585"
"2018-04-01 00:00:00.000","SC","245","44555.85999999997","181.86065306122438","0.04576712870938087"
"2018-04-01 00:00:00.000","BA","216","30278.849999999988","140.17986111111105","0.031101992535258825"
"2018-04-01 00:00:00.000","GO","132","18838.67","142.71719696969694","0.01935080670878202"
"2018-04-01 00:00:00.000","DF","146","18186.79","124.56705479452056","0.018681205092674263"
"2018-04-01 00:00:00.000","PE","110","17071.609999999993","155.1964545454545","0.017535708482483644"
"2018-05-01 00:00:00.000","SP","3138","424628.3599999996","135.31815168897373","0.4343825549295345"
"2018-05-01 00:00:00.000","RJ","816","124102.1000000002","152.08590686274533","0.12695286596053246"
"2018-05-01 00:00:00.000","MG","751","101778.35000000011","135.52376830892157","0.10411631410938374"
"2018-05-01 00:00:00.000","Others","515","91966.12","178.57499029126214","0.09407868605986702"
"2018-05-01 00:00:00.000","RS","350","50501.54999999996","144.29014285714274","0.051661627868900786"
"2018-05-01 00:00:00.000","PR","308","46153.07999999997","149.84766233766226","0.047213268582124865"
"2018-05-01 00:00:00.000","SC","226","35703.99999999998","157.98230088495566","0.03652416136596271"
"2018-05-01 00:00:00.000","BA","237","34970.43999999999","147.5545991561181","0.03577375066095444"
"2018-05-01 00:00:00.000","DF","140","25182.59999999999","179.87571428571422","0.025761072877394486"
"2018-05-01 00:00:00.000","GO","136","23905.249999999996","175.7738970588235","0.024454380699464498"
"2018-05-01 00:00:00.000","ES","132","18652.839999999997","141.3093939393939","0.01908131688588069"
"2018-06-01 00:00:00.000","SP","2738","340596.9399999999","124.39625273922567","0.39785743320122763"
"2018-06-01 00:00:00.000","MG","714","105757.72000000013","148.12005602240916","0.12353750160061391"
"2018-06-01 00:00:00.000","Others","585","103253.12000000001","176.50105982905984","0.12061183313396286"
"2018-06-01 00:00:00.000","RJ","707","100123.8900000001","141.61794908062248","0.11695652309008447"
"2018-06-01 00:00:00.000","RS","304","44093.82999999998","145.04549342105256","0.051506798692352564"
"2018-06-01 00:00:00.000","PR","306","42211.85999999997","137.9472549019607","0.0493084355668303"
"2018-06-01 00:00:00.000","BA","198","34709.57999999999","175.30090909090902","0.04054488688680722"
"2018-06-01 00:00:00.000","SC","205","32740.719999999987","159.71082926829263","0.03824502598396831"
"2018-06-01 00:00:00.000","DF","147","19246.82","130.93074829931973","0.02248255783650333"
"2018-06-01 00:00:00.000","ES","123","17102.96","139.04845528455283","0.019978276275010778"
"2018-06-01 00:00:00.000","CE","72","16240.419999999998","225.56138888888887","0.01897072773263871"
"2018-07-01 00:00:00.000","SP","2715","321647.25000000006","118.4704419889503","0.3705812175689696"
"2018-07-01 00:00:00.000","Others","619","122663.71999999999","198.16432956381257","0.1413252272765869"
"2018-07-01 00:00:00.000","RJ","696","97033.40000000005","139.41580459770123","0.11179562553964591"
"2018-07-01 00:00:00.000","MG","644","92328.16000000009","143.3667080745343","0.10637455146500605"
"2018-07-01 00:00:00.000","PR","314","45108.94999999996","143.6590764331209","0.051971622994624565"
"2018-07-01 00:00:00.000","BA","245","41869.00999999998","170.89391836734686","0.04823877307891597"
"2018-07-01 00:00:00.000","RS","308","39333.13999999998","127.70499999999993","0.04531710720987271"
"2018-07-01 00:00:00.000","SC","195","30923.989999999987","158.58456410256403","0.03562862690817545"
"2018-07-01 00:00:00.000","ES","122","30001.359999999997","245.91278688524588","0.03456563212502199"
"2018-07-01 00:00:00.000","PE","136","24359.039999999997","179.1105882352941","0.02806491490914731"
"2018-07-01 00:00:00.000","DF","165","22685.43999999999","137.4875151515151","0.0261367009240334"
"2018-08-01 00:00:00.000","SP","3164","387733.7099999996","122.54542035398218","0.4623712270353724"
"2018-08-01 00:00:00.000","MG","700","95308.39000000009","136.154842857143","0.11365495466222399"
"2018-08-01 00:00:00.000","RJ","723","93770.55000000008","129.69647302904573","0.11182108530950745"
"2018-08-01 00:00:00.000","Others","421","72726.71","172.7475296912114","0.08672637243985241"
"2018-08-01 00:00:00.000","RS","293","42844.46999999997","146.2268600682593","0.05109189542890199"
"2018-08-01 00:00:00.000","PR","327","38500.39999999997","117.7382262996941","0.04591160564644394"
"2018-08-01 00:00:00.000","SC","201","32220.929999999986","160.30313432835814","0.038423357464381545"
"2018-08-01 00:00:00.000","BA","159","21113.849999999995","132.79150943396223","0.02517819957398289"
"2018-08-01 00:00:00.000","DF","143","19881.6","139.03216783216783","0.023708745333044342"
"2018-08-01 00:00:00.000","GO","117","18028.989999999998","154.0939316239316","0.02149951374748527"
"2018-08-01 00:00:00.000","ES","103","16447.04","159.68","0.019613043358803803"
